transcript_id,benchmark,label_file,label_name,criteria,labeler,target
2HMRtkCxgju7q87nBz5Msm,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
2grUTB3MXmZJW3QcxUKygu,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
4LWaZXamgv9M6GVrA78zgv,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
5QHujhrnsNuSEfThXSukZi,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
86R7tfNjB4UxNEbT2FXva2,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
AGLCdV4EYk534irmHdooSr,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
CqFpbjm5SccfTZrJjHkVvz,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,1
DUEv7y7yeLCCShLw8YjEhS,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
DYVojGUbAV775LVgkvNPhj,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
EidhWXq6yh3JsQSa2DfTyT,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,1
FFMVR9SLqxjhyXoVmaJpCy,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
JzGZN9ZvreZL8vFxiwo52y,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
LPPhb2oNCuAMiBbxDRFe3D,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,3
NGEeoXCst7kkqXTuDmaCMj,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
NN9A9EPm6Eqq7WpB4yj2x8,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
P8ZoZMjnNRJ6Zw9PCHBmfZ,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
PdtRK9ZrHsQfHjmPhV6ape,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
PwzLRemUujUX88trLVdaZr,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
RwREgz8br5nxZVEnvSVe6S,core_bench,core_bench_easy_oa1_JM,easy_oa1_JM,oa1,JM,0
